r, offset_x, offset_y, offset_z
0.02, 0.0338007, 0.0195738, 0.103385
0.02, 0.0738007, 0.0195738, 0.103385
0.02, 0.113801, 0.0595738, 0.0673847
0.02, 0.113801, 0.0195738, 0.0753847
0.02, 0.0338007, -0.0204262, 0.0793847
0.02, 0.0818007, 0.0195738, 0.0793847
0.019, 0.0696007, 0.0533738, 0.104785
0.019, 0.0696007, -0.0150262, 0.0971847
0.018, 0.101401, 0.0471738, 0.0909847
0.018, 0.101401, 0.0831738, 0.0657847
0.017, 0.0612007, 0.00697382, 0.0847847
0.017, 0.0952007, -0.0202262, 0.0847847
0.017, 0.0986007, 0.108974, 0.0541847
0.017, 0.0680007, 0.0851738, 0.0983847
0.016, 0.0890007, 0.0987738, 0.0785847
0.016, 0.0570007, -0.0292262, 0.0817847
0.016, 0.0890007, 0.0667738, 0.0817847
0.016, 0.0602007, 0.108374, 0.0913847
0.016, 0.0314007, 0.0763738, 0.110585
0.015, 0.0228007, 0.0585738, 0.111385
0.014, 0.0206007, -0.00562618, 0.0941847
0.014, 0.104601, -0.00562618, 0.0717847
0.013, 0.0444007, 0.0421738, 0.111985
0.013, 0.0704007, 0.120174, 0.0703847
0.013, 0.122401, -0.00722618, 0.0703847
