r, offset_x, offset_y, offset_z
0.005, 0.000800676, 0.0165738, 0.0903847
0.005, 0.000800676, 0.0265738, 0.0903847
0.005, 0.000800676, 0.0365738, 0.100385
0.005, 0.0108007, -0.0334262, 0.0603847
0.005, 0.0108007, -0.0234262, 0.0703847
0.005, 0.0108007, -0.0234262, 0.0803847
0.005, 0.0108007, -0.0134262, 0.0803847
0.005, 0.0108007, -0.0134262, 0.0903847
0.005, 0.0108007, -0.00342618, 0.0803847
0.005, 0.0108007, -0.00342618, 0.0903847
0.005, 0.0108007, -0.00342618, 0.100385
0.005, 0.0108007, 0.00657382, 0.0803847
0.005, 0.0108007, 0.00657382, 0.0903847
0.005, 0.0108007, 0.00657382, 0.100385
0.005, 0.0108007, 0.0165738, 0.0903847
0.005, 0.0108007, 0.0165738, 0.100385
0.005, 0.0108007, 0.0265738, 0.0903847
0.005, 0.0108007, 0.0265738, 0.100385
0.005, 0.0108007, 0.0365738, 0.100385
0.005, 0.0108007, 0.0365738, 0.110385
0.005, 0.0108007, 0.0465738, 0.100385
0.005, 0.0108007, 0.0465738, 0.110385
0.005, 0.0108007, 0.0565738, 0.100385
0.005, 0.0108007, 0.0565738, 0.110385
0.005, 0.0108007, 0.0565738, 0.120385
0.005, 0.0108007, 0.0665738, 0.120385
0.005, 0.0208007, -0.0434262, 0.0703847
0.005, 0.0208007, -0.0334262, 0.0703847
0.005, 0.0208007, -0.0334262, 0.0803847
0.005, 0.0208007, -0.0334262, 0.0903847
0.005, 0.0208007, -0.0234262, 0.0703847
0.005, 0.0208007, -0.0234262, 0.0803847
0.005, 0.0208007, -0.0234262, 0.0903847
0.005, 0.0208007, -0.0134262, 0.0703847
0.005, 0.0208007, -0.0134262, 0.0803847
0.005, 0.0208007, -0.0134262, 0.0903847
0.005, 0.0208007, -0.0134262, 0.100385
0.005, 0.0208007, -0.0134262, 0.110385
0.005, 0.0208007, -0.00342618, 0.0803847
0.005, 0.0208007, -0.00342618, 0.0903847
0.005, 0.0208007, -0.00342618, 0.100385
0.005, 0.0208007, -0.00342618, 0.110385
0.005, 0.0208007, 0.00657382, 0.0803847
0.005, 0.0208007, 0.00657382, 0.0903847
0.005, 0.0208007, 0.00657382, 0.100385
0.005, 0.0208007, 0.00657382, 0.110385
0.005, 0.0208007, 0.0165738, 0.0903847
0.005, 0.0208007, 0.0165738, 0.100385
0.005, 0.0208007, 0.0165738, 0.110385
0.005, 0.0208007, 0.0265738, 0.100385
0.005, 0.0208007, 0.0265738, 0.110385
0.005, 0.0208007, 0.0365738, 0.100385
0.005, 0.0208007, 0.0365738, 0.110385
0.005, 0.0208007, 0.0465738, 0.100385
0.005, 0.0208007, 0.0465738, 0.110385
0.005, 0.0208007, 0.0465738, 0.120385
0.005, 0.0208007, 0.0565738, 0.100385
0.005, 0.0208007, 0.0565738, 0.110385
0.005, 0.0208007, 0.0565738, 0.120385
0.005, 0.0208007, 0.0665738, 0.100385
0.005, 0.0208007, 0.0665738, 0.110385
0.005, 0.0208007, 0.0665738, 0.120385
0.005, 0.0208007, 0.0765738, 0.100385
0.005, 0.0208007, 0.0765738, 0.110385
0.005, 0.0208007, 0.0765738, 0.120385
0.005, 0.0208007, 0.0865738, 0.110385
0.005, 0.0208007, 0.0865738, 0.120385
0.005, 0.0308007, -0.0434262, 0.0703847
0.005, 0.0308007, -0.0434262, 0.0803847
0.005, 0.0308007, -0.0434262, 0.0903847
0.005, 0.0308007, -0.0334262, 0.0703847
0.005, 0.0308007, -0.0334262, 0.0803847
0.005, 0.0308007, -0.0334262, 0.0903847
0.005, 0.0308007, -0.0234262, 0.0703847
0.005, 0.0308007, -0.0234262, 0.0803847
